nombre,Ndiputados,Vcontabilizados,VAbstenciones,VNulos,VBlanco,AJU,AVANT,CCaPNC,CCD,CENTROMODERADO,CILUS,CRA,Cs,DL,DN,EB,EHBildu,ELPI,ENPOSITIU,ERCCATSI,EUEX,EZKERRA,FDEE,FEdelasJONS,GBAI,IFem,IndependientesFIA,LIBERTATENAFARRA,Ln,MAS,MES,mlgXSI,NOS,OE,PACMA,PAISVALENCIA,PARTICIPACION,PCOE,PCPE,PFyV,PH,PLD,PLIB,PNV,PODEMOS,PP,PREPAL,PSOE,PT,PUMMJ,RECORTESCERO,SAIn,SOLUCIONA,SOMVAL,UDPYAR,UPeC,uniocat,UPYD,VOX,XLAIZQLV
Álava,4,180499,67954,1766,1290,0,0,0,0,0,0,0,10468,0,0,470,21179,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,110,1380,0,0,0,175,0,0,0,0,28297,48265,33609,0,25293,0,0,558,0,0,0,0,6794,0,764,0,0
Albacete,4,233371,70717,2301,1725,0,0,0,0,0,0,0,33676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,0,0,0,246,0,0,204,0,0,32155,85152,0,65074,0,0,305,0,0,0,0,9277,0,1145,538,0
Alicante,12,911086,308915,7894,5291,0,0,0,0,3254,0,0,154037,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,8232,606,0,0,1731,0,0,0,410,0,200885,296709,0,188367,0,0,1751,0,0,397,0,33293,0,5552,2223,0
Almería,6,311059,141531,2410,2204,0,0,0,0,0,0,0,44320,0,159,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,2092,0,0,0,314,0,0,0,0,0,39482,117407,0,89022,0,172,296,0,0,0,0,10776,0,1522,543,0
Asturias,8,623937,252233,5131,5553,0,0,0,0,0,0,0,83885,0,0,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4482,0,0,0,1229,0,386,0,0,0,132007,186586,0,144017,0,0,1008,0,0,0,0,52316,0,3792,1684,0
Ávila,3,102801,29770,1232,742,0,0,0,0,0,0,0,15892,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,11863,46963,0,20129,0,0,124,0,0,0,0,3878,0,904,329,0
Badajoz,6,403946,144747,5222,3112,0,0,0,0,0,0,0,45252,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,0,0,0,0,0,0,0,0,0,47203,137501,0,148347,0,0,505,0,0,0,0,12281,0,1539,0,0
Barcelona,31,2864960,1109443,14996,18126,0,0,0,0,0,0,0,386143,377563,0,0,0,0,0,412540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34270,0,0,0,5363,0,0,0,0,0,766889,321268,0,463612,0,0,10588,0,0,0,0,0,47743,5859,0,0
Burgos,4,217008,67907,2244,2032,0,0,0,0,0,0,0,33373,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,1420,0,0,0,504,0,0,0,0,0,36612,81780,0,44488,0,0,447,497,0,0,0,10099,0,2259,913,0
Cáceres,4,251602,84233,3412,1556,0,0,0,0,0,0,0,28293,0,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,0,0,0,0,0,0,0,0,34552,87729,0,84532,0,0,334,0,0,0,0,7216,0,1071,511,0
Cádiz,9,650999,317096,5860,6779,0,0,0,0,0,0,0,94707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7569,0,0,0,778,0,0,0,422,0,130215,179054,0,180667,0,0,1041,0,0,0,0,38798,0,3623,1486,0
Cantabria,5,352691,111387,3885,2843,0,0,0,0,0,0,0,53182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,0,0,0,458,0,235,0,0,0,62219,128852,0,78217,0,0,522,171,0,0,0,15428,0,2860,895,0
Castellón,5,312079,97386,3334,2090,0,0,0,2134,0,0,0,48220,0,469,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,2239,412,0,0,505,0,0,0,0,0,74457,98341,0,66450,0,0,484,0,0,466,0,9565,0,1739,919,0
Ceuta,1,33432,25781,497,420,0,0,0,0,0,0,0,4378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,4630,14786,0,7599,0,0,144,0,0,0,0,428,0,194,0,0
Ciudad Real,5,298501,97789,3427,2282,0,0,0,0,0,0,0,36377,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,0,0,0,0,0,0,0,0,0,36724,113356,0,91860,0,0,383,0,0,0,0,9801,0,1618,559,0
Córdoba,6,471728,163357,5044,4481,0,0,0,0,0,0,0,55655,0,0,626,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,3523,0,0,810,874,0,0,0,0,0,68451,141917,0,149628,0,0,601,0,0,0,0,37564,0,2060,0,0
Cuenca,3,122274,33812,1382,929,0,0,0,0,0,0,0,13015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,96,0,0,0,0,0,14057,50695,0,36973,0,0,165,0,0,0,0,3614,0,462,353,0
Gerona,6,334438,161689,2934,2507,0,0,0,0,0,0,0,32648,82984,0,0,0,0,0,77710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,0,0,0,595,0,0,0,0,0,53894,28281,0,41972,0,0,876,0,0,0,0,0,5845,582,0,0
Granada,7,512614,190271,4237,3425,0,0,0,0,0,0,0,70597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796,0,0,0,692,0,0,0,0,0,83051,158328,0,157585,0,441,637,0,0,0,0,25895,0,2666,1264,0
Guadalajara,3,137536,41209,1562,977,0,0,0,0,0,0,0,24554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,23736,47299,0,30639,0,0,282,75,0,0,0,5605,0,1020,643,0
Guipúzcoa,6,389205,166211,1956,2527,0,0,0,0,0,0,0,14419,0,0,0,80880,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,2259,0,0,0,0,0,0,0,0,91043,97859,33668,0,51530,0,0,774,0,0,0,0,10630,0,1293,0,0
Huelva,5,261812,127992,3061,2389,0,0,0,0,0,0,0,30709,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,0,0,0,294,0,0,0,0,0,39349,74479,0,95592,0,0,376,0,0,0,0,11529,0,1005,461,0
Huesca,3,122733,44596,1150,1249,0,0,0,0,0,0,0,19703,0,0,547,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,785,0,0,0,253,0,0,0,0,0,21768,39631,0,30039,0,0,248,0,0,0,0,6400,0,847,0,0
Islas Baleares,8,488131,260429,4678,3971,0,0,0,0,0,0,0,71446,0,0,0,0,12902,0,0,0,0,0,0,0,0,0,0,0,0,33931,0,0,0,5106,0,0,0,0,714,0,0,0,0,111416,140542,0,88542,0,0,1172,0,0,0,0,11434,0,2277,0,0
Jaén,5,390741,131429,3886,2713,771,0,0,0,0,1188,0,41298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,0,0,0,467,0,0,0,0,0,48362,121850,0,148397,0,0,369,197,0,0,0,16719,0,1278,710,0
La Coruña,8,678762,257840,8550,7643,0,0,0,0,0,0,0,66395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30488,0,5078,0,0,0,1438,0,0,0,0,0,176625,237837,0,136931,1096,0,1527,422,0,0,0,0,0,3493,1239,0
La Rioja,4,178664,54421,2049,1492,0,0,0,0,0,0,0,26719,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0,0,0,228,0,0,0,0,0,27941,67736,0,41875,0,0,356,0,0,0,0,7397,0,1349,0,0
Las Palmas,8,522873,275265,7528,4110,0,0,21755,0,0,0,0,63247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5348,0,0,0,953,0,438,0,0,0,136278,145240,0,115431,0,611,1473,299,0,0,1599,15235,0,2557,771,0
León,5,293843,104571,3404,2939,0,0,0,0,0,0,1027,37671,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,528,0,0,0,0,0,50968,103458,894,73685,0,0,471,0,0,0,0,13929,0,2023,738,0
Lérida,4,199533,99536,1827,2121,0,0,0,0,0,0,0,17770,48005,0,0,0,0,0,44002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,0,0,0,311,0,0,0,0,0,30329,22260,0,24650,0,0,391,0,0,0,0,0,4839,774,491,0
Lugo,4,205589,80724,3727,2436,0,0,0,0,0,0,0,15346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7208,0,1580,0,0,0,417,0,0,0,0,0,38873,85810,0,48413,394,0,431,0,0,0,0,0,0,954,0,0
Madrid,36,3621374,1036160,23310,18724,0,0,0,0,0,0,0,676389,0,0,0,0,0,0,0,0,0,0,4688,0,0,0,0,0,0,0,0,0,0,28302,0,0,0,1730,0,1848,0,1053,0,750477,1203837,0,643158,0,2832,4009,1229,0,0,0,189237,0,43103,22441,5007
Málaga,11,780887,333058,6585,5710,0,0,0,0,0,0,0,132185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,8836,0,0,0,1020,0,0,0,285,0,132345,224282,0,208405,0,0,963,0,406,0,0,52647,0,4488,1806,0
Melilla,1,28383,24872,363,300,0,0,0,0,0,0,0,4356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,3206,12309,0,6889,0,0,46,0,0,0,0,362,0,239,0,0
Murcia,10,732331,271463,6378,4492,0,0,0,0,0,0,0,128294,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,6561,0,0,0,1043,0,0,0,0,0,110089,293546,0,147524,0,0,1259,375,0,0,0,22710,0,5418,3271,0
Navarra,5,355299,123033,3113,3699,0,0,0,0,0,0,0,24815,0,0,0,34856,0,0,0,0,0,0,0,30554,0,0,574,0,0,0,0,0,0,2333,0,0,0,0,0,0,0,0,0,80961,101901,0,54700,0,0,951,909,0,0,0,14489,0,1444,0,0
Orense,4,193445,74257,2542,1737,0,0,0,0,0,0,0,15020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6372,0,1332,0,0,0,0,0,0,0,0,0,34048,85729,0,44298,332,0,382,0,0,0,0,0,0,789,0,864
Palencia,3,105566,31950,1275,991,0,0,0,0,0,0,0,14767,0,0,180,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,614,0,0,0,126,0,0,0,0,0,13981,42072,0,25613,0,0,157,70,0,0,0,4682,0,821,0,0
Pontevedra,7,576067,198871,7870,5462,0,0,0,0,0,0,0,51149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26396,0,5215,0,0,0,1358,0,0,0,0,0,158824,195802,0,118300,1135,0,1412,0,0,0,0,0,0,3144,0,0
Salamanca,4,210341,70422,2274,1993,0,0,0,0,0,0,0,35055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,262,0,0,0,0,0,25463,88934,240,45246,0,0,312,0,0,0,0,6972,0,1647,811,0
Santa Cruz de Tenerife,7,482635,250714,5362,3150,0,0,59995,0,0,0,0,50151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6526,0,0,0,758,0,0,0,0,0,94785,138072,0,102810,0,0,1175,0,0,0,1275,15698,0,2109,769,0
Segovia,3,92898,25605,1296,910,0,0,0,0,0,0,0,15625,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,513,0,0,0,189,0,0,0,0,0,13063,36130,0,19724,0,0,225,0,0,0,0,3732,0,1268,0,0
Sevilla,12,1104121,396654,11221,9975,0,0,0,0,0,0,0,142301,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,9967,0,0,1096,891,0,0,0,660,0,207826,275335,0,371103,0,0,1410,0,0,0,0,62152,0,6492,2704,0
Soria,2,52210,18508,646,678,0,0,0,0,0,0,0,7821,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,54,0,0,0,0,0,8267,19934,0,12280,0,0,85,0,0,0,0,1833,0,325,0,0
Tarragona,6,375396,172574,3357,2679,0,0,0,0,0,0,0,52942,56949,0,618,0,0,0,65037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4157,0,0,0,698,0,0,0,0,0,76828,45477,0,58787,0,0,886,0,0,0,0,0,6299,682,0,0
Teruel,3,78500,26952,1079,883,0,0,0,0,0,0,0,11400,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,105,0,0,0,0,0,11806,28224,0,19854,0,0,135,0,0,0,0,3873,0,449,0,0
Toledo,6,389710,119617,4880,2324,0,0,0,0,0,0,0,53095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3029,0,0,0,304,0,0,0,0,0,52407,149274,0,106842,0,0,608,0,0,0,0,13555,0,1891,1501,0
Valencia,15,1474489,418718,11891,8738,0,1001,0,7101,0,0,0,221299,0,0,0,0,0,1276,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,14445,1469,0,0,2077,0,0,0,0,0,395729,442005,0,275680,0,0,2743,0,0,5221,0,68759,0,9959,4097,0
Valladolid,5,330443,90926,2885,2679,0,0,0,1570,0,0,0,56060,0,286,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,1717,0,0,0,427,0,0,0,0,0,49880,121065,0,70713,0,0,482,271,0,0,0,17849,0,2927,1224,0
Vizcaya,8,657095,256144,4655,4820,0,0,0,0,0,0,0,25000,0,0,1035,81552,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,0,0,4325,0,405,0,408,0,0,0,0,182245,170317,74279,0,84643,0,475,1083,0,0,0,0,18391,0,1991,0,0
Zamora,3,113934,41577,1534,1227,0,0,0,0,0,0,0,14527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,123,0,0,0,0,0,15727,47858,229,25826,0,0,176,0,0,0,0,5490,0,736,0,0
Zaragoza,7,536253,178113,3892,4641,0,0,0,0,0,0,0,94800,0,0,2987,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,4042,0,0,0,873,0,0,0,0,0,102189,161341,0,118742,0,0,1079,0,0,0,0,34773,0,4495,1839,0
